date,high,low,precipitation,real feel,real feel shade,max uv index,wind
2024-07-24,21,19,1.0,24,21,4,11
2024-07-25,21,19,1.0,24,21,4,11
2024-07-26,23,19,0.96,28,24,5,9
2024-07-27,23,19,0.97,28,24,4,7
2024-07-28,20,19,0.95,24,22,4,6
2024-07-29,22,19,0.96,26,23,5,7
2024-07-30,21,18,0.75,24,22,4,7
2024-07-31,23,18,0.74,28,24,8,9
2024-08-01,23,18,0.65,27,24,7,4
2024-08-02,23,18,0.74,27,25,12,2
2024-08-03,22,18,0.7,28,24,11,2
2024-08-04,22,19,0.67,26,24,8,4
2024-08-05,23,20,0.45,27,27,4,4
2024-08-06,23,20,0.69,27,27,4,4
2024-08-07,22,19,0.65,29,25,12,4
2024-08-08,22,20,0.74,27,27,4,2
2024-08-09,23,20,0.7,28,26,3,6
2024-08-10,22,19,0.6,27,26,4,4
2024-08-11,22,20,0.65,26,25,4,7
2024-08-12,22,20,0.55,27,25,4,7
2024-08-13,22,19,0.67,27,25,3,7
2024-08-14,22,20,0.7,25,24,3,9
2024-08-15,23,20,0.59,28,27,4,7
2024-08-16,22,19,0.44,27,24,4,6
2024-08-17,23,19,0.58,28,26,4,4
2024-08-18,22,20,0.55,27,25,4,4
2024-08-19,22,20,0.55,27,25,4,4
2024-08-20,22,19,0.55,27,25,4,4
2024-08-21,22,20,0.41,27,25,4,2
2024-08-22,21,20,0.76,26,24,3,4
2024-08-23,21,19,0.7,26,23,4,2
2024-08-24,21,20,0.7,27,25,6,4
2024-08-25,21,20,0.63,26,24,3,6
2024-08-26,22,20,0.56,28,25,8,2
2024-08-27,22,20,0.57,28,26,5,4
2024-08-28,21,19,0.65,28,24,13,2
2024-08-29,21,20,0.65,28,23,10,2
2024-08-30,21,20,0.61,26,24,5,4
2024-08-31,21,19,0.55,28,24,13,4
2024-09-01,21,19,0.4,28,24,13,4
2024-09-02,22,19,0.55,28,24,13,6
2024-09-03,22,19,0.65,25,22,5,9
2024-09-04,22,19,0.65,24,22,6,15
2024-09-05,22,19,0.65,26,24,5,11
2024-09-06,22,19,0.65,26,22,9,15
